Количество поданных заявлений на 22.06.2019;;;;;;;;
Специальность;Код специальности;Форма обучения;База приема ;План набора (бюджет);План набора (внебюджет);Подано заявлений (бюджет);Подано заявлений (внебюджет);
Центр медицинской техники и оптики;;;;;;;;
Медицинская оптика (базовая подготовка);31.02.04;очная;9 кл.;25;;2;;
Медицинская оптика (углубленная подготовка);31.02.04;очная;11 кл.;25;;1;;
Монтаж, техническое обслуживание и ремонт медицинской техники ;12/02/07;очная;9 кл.;25;;4;;
Аддитивные технологии;15/02/09;очная;9 кл.;25;;4;;
Медицинская оптика (УП);31.02.04;заочная;11 кл.;;25;;;
Медицинская оптика (БП);31.02.04;заочная;11 кл.;;25;;;
Итого:;;;;100;50;11;0;
Центр информационно-коммуникационных технологий;;;;;;;;
Информационные системы и программирование;09/02/07;очная;9 кл.;25;;5;;
Информационные системы и программирование;09/02/07;очная;11 кл.;25;;2;;
Обеспечение информационной безопасности автоматизированных систем ;10/02/05;очная;11 кл.;25;;1;;
Сетевое и системное администрирование;09/02/06;очная;9 кл.;25;;5;;
Компьютерные системы и комплексы;09/02/01;очная;9 кл.;25;;3;;
Итого:;;;;125;;16;0;
Центр тогрово-экономических компетенций;;;;;;;;
Товароведение и экспертиза качества потребительских товаров;38.02.05;очная;9 кл.;25;;1;;
Коммерция;38.02.04;очная;9 кл.;;25;;4;
Товароведение и экспертиза качества потребительских товаров;38.02.05;очно-заочная;11 кл.;;25;;;
Итого:;;;;25;50;1;4;
Центр алмазных технологий и геммологии;;;;;;;;
Огранка алмазов в бриллианты;29/01/28;очная;11 кл.;50;;2;;
Технология обработки алмазов;29/02/08;очная;11 кл.;25;;;;
Технология обработки алмазов;29/02/08;очная;9 кл.;50;;4;;
Итого:;;;;125;;6;0;
Центр предпринимательства и развития бизнеса;;;;;;;;
Туризм;43.02.10;очная;9 кл.;75;;7;;
Банковское дело;38.02.07;очная;9 кл.;;25;;5;
Итого:;;;;75;25;7;5;
Центр аудиовизуальных технологий;;;;;;;;
Аудиовизуальная техника;2/11/05;очная;11 кл.;25;;5;;
Техника и искусство фото;54.02.08;очная;9 кл.;25;;7;;
Музыкальное звукооператорское мастерство;53.02.08;очная;9 кл.;25;;10;;
;;;;;;;;
Анимация (по видам);55.02.02;очная;11 кл.;25;;1;;
Театральная и аудиовизуальная техника (по видам) ;55.02.01;очная;11 кл.;25;;5;;
Итого:;;;;125;;28;0;
;;;;;;;;
Итого 9 кл.:;;;;350;50;52;9;
Итого 11 кл.:;;;;225;75;17;0;
Итого:;;;;575;125;69;9;